SN,Date,Time (UTC),Date,Time (UTC}
345,21-07-07,05:50:30,21-10-06,14:06:00
376,21-07-07,05:41:00,21-10-06,14:06:00
392,21-07-07,05:50:30,21-10-06,14:06:00
393,21-07-06,06:56:00,21-10-06,14:06:00
395,21-07-06,06:56:00,21-10-06,14:06:00
413,21-07-07,05:41:00,21-10-06,14:06:00
416,21-07-06,06:56:00,21-10-06,14:06:00
418,21-07-07,05:46:20,21-10-06,14:06:00
421,21-07-07,05:36:00,21-10-06,14:06:00
422,21-07-07,05:56:00,21-10-06,14:06:00
423,21-07-07,05:41:00,21-10-06,14:06:00
424,21-07-06,06:56:00,21-10-06,14:06:00
425,21-07-07,05:36:00,21-10-06,14:06:00
455,21-07-07,05:50:30,21-10-06,14:06:00
457,21-07-07,05:56:00,21-10-06,14:06:00
458,21-07-07,05:41:00,21-10-06,14:06:00
466,21-07-06,06:56:00,21-10-06,14:06:00
475,21-07-07,05:41:00,21-10-06,14:06:00
477,21-07-07,05:36:00,21-10-06,14:06:00
913,21-07-07,05:56:00,21-10-06,14:06:00
915,21-07-07,05:46:20,21-10-06,14:06:00
916,21-07-07,05:46:20,21-10-06,14:06:00
5462,21-07-07,05:50:30,21-10-06,14:06:00
5825,21-07-07,05:36:00,21-10-06,14:06:00
6413,21-07-06,06:56:00,21-10-06,14:06:00
6414,21-07-07,05:46:20,21-10-06,14:06:00
6415,21-07-06,06:56:00,21-10-06,14:06:00
6416,21-07-07,05:36:00,21-10-06,14:06:00
6417,21-07-07,05:56:00,21-10-06,14:06:00
6418,21-07-06,06:56:00,21-10-06,14:06:00
6419,21-07-07,05:56:00,21-10-06,14:06:00
6420,21-07-07,05:46:20,21-10-06,14:06:00
6422,21-07-07,05:36:00,21-10-06,14:06:00
6423,21-07-07,05:46:20,21-10-06,14:06:00
6424,21-07-07,05:50:30,21-10-06,14:06:00
6425,21-07-07,05:50:30,21-10-06,14:06:00
6426,21-07-07,05:56:00,21-10-06,14:06:00
6427,21-07-07,05:46:20,21-10-06,14:06:00
6428,21-07-07,05:56:00,21-10-06,14:06:00
6429,21-07-06,06:56:00,21-10-06,14:06:00
6430,21-07-07,05:41:00,21-10-06,14:06:00
6431,21-07-07,05:46:20,21-10-06,14:06:00
6432,21-07-07,05:50:30,21-10-06,14:06:00
6433,21-07-07,05:41:00,21-10-06,14:06:00
6435,21-07-07,05:56:00,21-10-06,14:06:00
6436,21-07-07,05:36:00,21-10-06,14:06:00
6437,21-07-07,05:56:00,21-10-06,14:06:00
6438,21-07-07,05:41:00,21-10-06,14:06:00
6439,21-07-07,05:36:00,21-10-06,14:06:00
6441,21-07-06,06:56:00,21-10-06,14:06:00
6443,21-07-07,05:36:00,21-10-06,14:06:00
6444,21-07-07,05:46:20,21-10-06,14:06:00
6445,21-07-07,05:56:00,21-10-06,14:06:00
6446,21-07-07,05:50:30,21-10-06,14:06:00
6447,21-07-07,05:50:30,21-10-06,14:06:00
6448,21-07-07,05:41:00,21-10-06,14:06:00
6449,21-07-07,05:36:00,21-10-06,14:06:00
