SN,Notes,UTC Date,UTC Time,Logger Date,Logger Time,cal1 date,cal1 time,cal2 date,cal2 time
345,FLOODED,N/A,N/A,N/A,N/A,2021-07-07,05:50:30,2021-10-06,14:06:00
376,,2021-10-07,13:45:00,2021-10-07,13:45:06,2021-07-07,05:41:00,2021-10-06,14:06:00
392,62 events,2021-10-07,10:40:00,2021-10-07,10:40:09,2021-07-07,05:50:30,2021-10-06,14:06:00
393,,2021-10-07,20:15:20,2021-10-07,20:15:29,2021-07-06,06:56:00,2021-10-06,14:06:00
395,,2021-10-07,10:47:00,2021-10-07,10:47:12,2021-07-06,06:56:00,2021-10-06,14:06:00
413,62 events,2021-10-07,16:31:00,2021-10-07,16:31:07,2021-07-07,05:41:00,2021-10-06,14:06:00
416,,2021-10-07,15:53:00,2021-10-07,15:53:03,2021-07-06,06:56:00,2021-10-06,14:06:00
418,,2021-10-07,16:30:00,2021-10-07,16:30:08,2021-07-07,05:46:20,2021-10-06,14:06:00
421,62 events,2021-10-07,13:46:00,2021-10-07,13:46:09,2021-07-07,05:36:00,2021-10-06,14:06:00
422,,2021-10-07,13:47:00,2021-10-07,13:47:07,2021-07-07,05:56:00,2021-10-06,14:06:00
423,62 events,2021-10-07,13:48:00,2021-10-07,13:48:07,2021-07-07,05:41:00,2021-10-06,14:06:00
424,,2021-10-07,10:51:00,2021-10-07,10:51:05,2021-07-06,06:56:00,2021-10-06,14:06:00
425,62 events,2021-10-07,16:29:00,2021-10-07,16:29:08,2021-07-07,05:36:00,2021-10-06,14:06:00
455,61 EVENTS Time incorrect,2021-10-07,16:28:00,2000-04-03,16:47:00,2021-07-07,05:50:30,2021-10-06,14:06:00
457,,2021-10-07,10:41:00,2021-10-07,10:41:11,2021-07-07,05:56:00,2021-10-06,14:06:00
458,,2021-10-07,10:46:00,2021-10-07,10:46:09,2021-07-07,05:41:00,2021-10-06,14:06:00
466,THERMISTOR SEVERELY BENT,2021-10-07,21:04:00,2021-10-07,21:04:06,2021-07-06,06:56:00,2021-10-06,14:06:00
475,,2021-10-07,10:46:00,2021-10-07,10:46:08,2021-07-07,05:41:00,2021-10-06,14:06:00
477,,2021-10-07,15:52:10,2021-10-07,15:52:17,2021-07-07,05:36:00,2021-10-06,14:06:00
913,DID NOT LOG DATA. TIME RESET WHEN PLUGGED INTO THE COMPUTER TO GET TIME OFFSET,2021-10-07,21:00:30,2000-01-01,00:06:00,2021-07-07,05:56:00,2021-10-06,14:06:00
915,62 events,2021-10-07,10:48:00,2021-10-07,10:48:11,2021-07-07,05:46:20,2021-10-06,14:06:00
916,,2021-10-07,15:48:40,2021-10-07,15:48:49,2021-07-07,05:46:20,2021-10-06,14:06:00
5462,62 events,2021-10-07,10:45:00,2021-10-07,10:45:04,2021-07-07,05:50:30,2021-10-06,14:06:00
5825,,2021-10-07,16:32:00,2021-10-07,16:32:02,2021-07-07,05:36:00,2021-10-06,14:06:00
6413,,2021-10-07,20:19:00,2021-10-07,20:19:11,2021-07-06,06:56:00,2021-10-06,14:06:00
6414,,2021-10-07,21:05:55,2021-10-07,21:05:54,2021-07-07,05:46:20,2021-10-06,14:06:00
6415,,2021-10-07,20:26:00,2021-10-07,20:26:01,2021-07-06,06:56:00,2021-10-06,14:06:00
6416,,2021-10-07,21:07:30,2021-10-07,21:07:32,2021-07-07,05:36:00,2021-10-06,14:06:00
6417,,2021-10-07,19:26:00,2021-10-07,19:26:01,2021-07-07,05:56:00,2021-10-06,14:06:00
6418,,2021-10-07,20:23:00,2021-10-07,20:23:05,2021-07-06,06:56:00,2021-10-06,14:06:00
6419,,2021-10-07,13:49:00,2021-10-07,13:49:01,2021-07-07,05:56:00,2021-10-06,14:06:00
6420,,2021-10-07,15:46:50,2021-10-07,15:46:51,2021-07-07,05:46:20,2021-10-06,14:06:00
6422,,2021-10-07,20:18:00,2021-10-07,20:18:01,2021-07-07,05:36:00,2021-10-06,14:06:00
6423,,2021-10-07,16:33:00,2021-10-07,16:33:00,2021-07-07,05:46:20,2021-10-06,14:06:00
6424,THERMISTOR SEVERELY BENT,2021-10-07,20:26:45,2021-10-07,20:26:49,2021-07-07,05:50:30,2021-10-06,14:06:00
6425,,2021-10-07,21:06:45,2021-10-07,21:06:45,2021-07-07,05:50:30,2021-10-06,14:06:00
6426,,2021-10-07,19:27:00,2021-10-07,19:26:58,2021-07-07,05:56:00,2021-10-06,14:06:00
6427,DID NOT LOG DATA. TIME RESET WHEN PLUGGED INTO THE COMPUTER TO GET TIME OFFSET,2021-10-07,10:42:00,2021-10-07,10:41:58,2021-07-07,05:46:20,2021-10-06,14:06:00
6428,,2021-10-07,21:04:45,2021-10-07,21:04:45,2021-07-07,05:56:00,2021-10-06,14:06:00
6429,,2021-10-07,21:08:10,2021-10-07,21:08:10,2021-07-06,06:56:00,2021-10-06,14:06:00
6430,,2021-10-07,19:28:00,2021-10-07,19:28:01,2021-07-07,05:41:00,2021-10-06,14:06:00
6431,,2021-10-07,10:43:00,2021-10-07,10:43:03,2021-07-07,05:46:20,2021-10-06,14:06:00
6432,,2021-10-07,19:29:00,2021-10-07,19:28:59,2021-07-07,05:50:30,2021-10-06,14:06:00
6433,,2021-10-07,10:49:00,2021-10-07,10:49:02,2021-07-07,05:41:00,2021-10-06,14:06:00
6435,,2021-10-07,10:50:00,2021-10-07,10:49:59,2021-07-07,05:56:00,2021-10-06,14:06:00
6436,,2021-10-07,13:50:00,2021-10-07,13:50:03,2021-07-07,05:36:00,2021-10-06,14:06:00
6437,,2021-10-07,15:51:10,2021-10-07,15:51:07,2021-07-07,05:56:00,2021-10-06,14:06:00
6438,,2021-10-07,13:51:00,2021-10-07,13:51:01,2021-07-07,05:41:00,2021-10-06,14:06:00
6439,,2021-10-07,10:44:00,2021-10-07,10:44:00,2021-07-07,05:36:00,2021-10-06,14:06:00
6441,,2021-10-07,15:49:50,2021-10-07,15:49:52,2021-07-06,06:56:00,2021-10-06,14:06:00
6443,62 events,2021-10-07,19:30:00,2021-10-07,19:30:02,2021-07-07,05:36:00,2021-10-06,14:06:00
6444,,2021-10-07,19:31:00,2021-10-07,19:31:01,2021-07-07,05:46:20,2021-10-06,14:06:00
6445,,2021-10-07,16:34:00,2021-10-07,16:34:00,2021-07-07,05:56:00,2021-10-06,14:06:00
6446,62 events,2021-10-07,19:32:00,2021-10-07,19:32:02,2021-07-07,05:50:30,2021-10-06,14:06:00
6447,,2021-10-07,20:17:10,2021-10-07,20:17:09,2021-07-07,05:50:30,2021-10-06,14:06:00
6448,,2021-10-07,10:45:00,2021-10-07,10:45:01,2021-07-07,05:41:00,2021-10-06,14:06:00
6449,,2021-10-07,15:13:20,2021-10-07,15:13:21,2021-07-07,05:36:00,2021-10-06,14:06:00
