SN,Notes,UTC Time,Logger Time,cal1 time,cal2 time,CTD Rosette Calibration,Pre-Deployment Notes
376,,2022-08-09 10:23:10,2022-08-09 10:23:28,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
392,,2022-08-09 08:28:00,2022-08-09 08:28:28,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
393,,2022-08-09 09:24:20,2022-08-09 09:24:46,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
395,,2022-08-09 15:06:00,2022-08-09 15:06:36,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,
413,,2022-08-09 15:12:00,2022-08-09 15:12:22,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
416,,2022-08-07 09:29:00,2022-08-07 09:29:16,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
418,,2022-08-09 14:01:30,2022-08-09 14:01:50,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,
421,,2022-08-09 18:46:00,2022-08-09 18:46:31,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
422,,2022-08-09 18:44:00,2022-08-09 18:44:19,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,
423,,2022-08-09 08:21:30,2022-08-09 08:21:53,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
424,,2022-08-09 08:26:30,2022-08-09 08:26:44,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,
425,,2022-08-09 17:39:00,2022-08-09 17:39:21,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
457,,2022-08-09 07:32:00,2022-08-09 07:32:35,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,
458,,2022-08-09 07:23:00,2022-08-09 07:23:27,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,
466,,2022-08-09 16:05:45,2022-08-09 16:06:08,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,THERMISTOR SEVERELY BENT
475,,2022-08-09 09:29:00,2022-08-09 09:29:23,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
477,,2022-08-07 09:14:00,2022-08-07 09:14:23,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,"21 events, Possible High Current Instrument Deploy in less essential location on mooring"
915,10 events,2022-08-09 18:48:30,2022-08-09 18:49:03,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
916,48 events,2022-08-09 14:08:30,2022-08-09 14:08:56,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,"30 events, Possible High Current Instrument Deploy in less essential location on mooring"
5825,,2022-08-09 10:26:00,2022-08-09 10:26:04,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
6413,,2022-08-09 09:20:40,2022-08-09 09:21:13,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
6414,,2022-08-07 08:58:00,2022-08-07 08:57:57,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,2 events Lasted whole time should be fine Deploy in less essential location on mooring
6415,,2022-08-07 19:26:00,2022-08-07 19:26:08,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
6416,,2022-08-09 18:50:15,2022-08-09 18:50:19,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,
6417,,2022-08-09 14:14:00,2022-08-09 14:14:00,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,
6418,,2022-08-09 10:21:00,2022-08-09 10:21:07,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
6419,,2022-08-09 16:03:45,2022-08-09 16:03:49,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,
6420,,2022-08-09 13:11:30,2022-08-09 13:11:25,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,
6422,,2022-08-09 07:27:00,2022-08-09 07:27:00,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,
6423,,2022-08-09 11:28:00,2022-08-09 11:28:02,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,
6424,,2022-08-09 17:44:00,2022-08-09 17:44:02,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,THERMISTOR SEVERELY BENT
6425,,2022-08-09 14:16:00,2022-08-09 14:15:57,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,
6426,,2022-08-09 08:24:30,2022-08-09 08:24:21,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,
6428,,2022-08-07 18:55:30,2022-08-07 18:55:27,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
6429,,2022-08-07 08:35:00,2022-08-07 08:34:54,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
6430,,2022-08-09 13:08:00,2022-08-09 13:08:00,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,
6431,1 event,2022-08-07 19:10:00,2022-08-07 19:10:11,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
6432,,2022-08-09 17:36:45,2022-08-09 17:36:38,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,
6433,,2022-08-09 07:29:00,2022-08-09 07:29:04,2021-10-16 17:04:00,2022-08-09 07:10:00,2021-10-13 16:00,
6435,,2022-08-09 09:27:00,2022-08-09 09:26:55,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
6436,,2022-08-07 18:07:30,2022-08-07 18:07:40,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
6437,,2022-08-09 15:10:00,2022-08-09 15:09:53,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,
6438,,2022-08-09 10:18:40,2022-08-09 10:18:44,2021-10-16 17:04:00,2022-08-09 09:17:00,2021-10-13 16:00,
6439,,2022-08-09 11:30:00,2022-08-09 11:29:59,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,
6441,,2022-08-07 08:21:45,2022-08-07 08:21:47,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
6443,,2022-08-09 13:14:30,2022-08-09 13:14:31,2021-10-16 17:04:00,2022-08-09 11:24:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
6444,,2022-08-07 18:40:00,2022-08-07 18:40:05,2021-10-16 17:04:00,2022-08-06 14:29:08,2021-10-13 16:00,
6446,,2022-08-09 16:00:00,2022-08-09 16:00:01,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,"62 events, Possible High Current Instrument Deploy in less essential location on mooring"
6447,,2022-08-09 17:41:20,2022-08-09 17:41:19,2021-10-16 17:04:00,2022-08-09 17:28:00,2021-10-13 16:00,
6448,,2022-08-09 15:07:30,2022-08-09 15:07:30,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,
6449,,2022-08-09 16:01:45,2022-08-09 16:01:54,2021-10-16 17:04:00,2022-08-09 15:00:00,2021-10-13 16:00,
